# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	8198	10270	-	WP_011587306.1	WP_011587306.1		glycine--tRNA ligase subunit beta	glyS		ABO_RS00040	2073	690	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	10270	11274	-					glyQ		ABO_RS00045	1005		old_locus_tag=ABO_0009
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	10270	11274	-	WP_011587307.1	WP_011587307.1		glycine--tRNA ligase subunit alpha	glyQ		ABO_RS00045	1005	334	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	11436	12014	+							ABO_RS00050	579		old_locus_tag=ABO_0010
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	11436	12014	+	WP_011587308.1	WP_011587308.1		DNA-3-methyladenine glycosylase I			ABO_RS00050	579	192	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	12163	12939	-							ABO_RS00055	777		old_locus_tag=ABO_0011
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	12163	12939	-	WP_011587309.1	WP_011587309.1		ATP-binding protein			ABO_RS00055	777	258	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	13096	13431	+							ABO_RS00060	336		
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	13096	13431	+	WP_050731490.1	WP_050731490.1		hypothetical protein			ABO_RS00060	336	111	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	13454	14797	+							ABO_RS00065	1344		old_locus_tag=ABO_0012
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	13454	14797	+	WP_011587310.1	WP_011587310.1		DUF2868 domain-containing protein			ABO_RS00065	1344	447	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	14888	16369	+							ABO_RS00070	1482		old_locus_tag=ABO_0013
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	14888	16369	+	WP_011587311.1	WP_011587311.1		GTPase/DUF3482 domain-containing protein			ABO_RS00070	1482	493	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	16498	17004	+							ABO_RS00075	507		old_locus_tag=ABO_0014
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	16498	17004	+	WP_011587312.1	WP_011587312.1		MarR family transcriptional regulator			ABO_RS00075	507	168	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	17015	19123	+							ABO_RS00080	2109		old_locus_tag=ABO_0015
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	17015	19123	+	WP_011587313.1	WP_011587313.1		FUSC family protein			ABO_RS00080	2109	702	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	19113	19313	+							ABO_RS00085	201		old_locus_tag=ABO_0016
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	19113	19313	+	WP_011587314.1	WP_011587314.1		DUF1656 domain-containing protein			ABO_RS00085	201	66	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	19327	20316	+							ABO_RS00090	990		old_locus_tag=ABO_0017
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	19327	20316	+	WP_011587315.1	WP_011587315.1		HlyD family secretion protein			ABO_RS00090	990	329	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	20469	21194	+							ABO_RS00095	726		old_locus_tag=ABO_0018
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	20469	21194	+	WP_011587316.1	WP_011587316.1		DUF1963 domain-containing protein			ABO_RS00095	726	241	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	21211	21948	-							ABO_RS00100	738		old_locus_tag=ABO_0019
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	21211	21948	-	WP_232501277.1	WP_232501277.1		AraC family transcriptional regulator			ABO_RS00100	738	245	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	22278	23777	+							ABO_RS00105	1500		old_locus_tag=ABO_0020
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	22278	23777	+	WP_011587318.1	WP_011587318.1		CoA-acylating methylmalonate-semialdehyde dehydrogenase			ABO_RS00105	1500	499	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	23919	25070	+							ABO_RS00110	1152		old_locus_tag=ABO_0021
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	23919	25070	+	WP_011587319.1	WP_011587319.1		acyl-CoA dehydrogenase family protein			ABO_RS00110	1152	383	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	25190	26080	+					mmsB		ABO_RS00115	891		old_locus_tag=ABO_0022
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	25190	26080	+	WP_011587320.1	WP_011587320.1		3-hydroxyisobutyrate dehydrogenase	mmsB		ABO_RS00115	891	296	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	26119	27051	-					thpD		ABO_RS00120	933		old_locus_tag=ABO_0023
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	26119	27051	-	WP_011587321.1	WP_011587321.1		ectoine hydroxylase	thpD		ABO_RS00120	933	310	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	27502	27678	+							ABO_RS14165	177		old_locus_tag=ABO_0024
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	27502	27678	+	WP_011587322.1	WP_011587322.1		DUF1328 domain-containing protein			ABO_RS14165	177	58	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	27828	28688	-							ABO_RS00130	861		old_locus_tag=ABO_0025
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	27828	28688	-	WP_011587323.1	WP_011587323.1		pirin family protein			ABO_RS00130	861	286	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	28756	29760	-							ABO_RS00135	1005		old_locus_tag=ABO_0026
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	28756	29760	-	WP_011587324.1	WP_011587324.1		glutathione S-transferase family protein			ABO_RS00135	1005	334	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	29799	30395	-							ABO_RS00140	597		old_locus_tag=ABO_0027
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	29799	30395	-	WP_011587325.1	WP_011587325.1		NAD(P)H-dependent oxidoreductase			ABO_RS00140	597	198	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	30525	31463	+							ABO_RS00145	939		old_locus_tag=ABO_0028
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	30525	31463	+	WP_011587326.1	WP_011587326.1		LysR family transcriptional regulator			ABO_RS00145	939	312	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	31494	32021	+							ABO_RS00150	528		old_locus_tag=ABO_0029
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	31494	32021	+	WP_011587327.1	WP_011587327.1		DUF4136 domain-containing protein			ABO_RS00150	528	175	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	32005	33318	-							ABO_RS00155	1314		old_locus_tag=ABO_0030
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	32005	33318	-	WP_011587328.1	WP_011587328.1		two-component sensor histidine kinase			ABO_RS00155	1314	437	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	33315	33977	-							ABO_RS00160	663		old_locus_tag=ABO_0031
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	33315	33977	-	WP_011587329.1	WP_011587329.1		response regulator			ABO_RS00160	663	220	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	34089	34898	+							ABO_RS00165	810		old_locus_tag=ABO_0032
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	34089	34898	+	WP_041704536.1	WP_041704536.1		TlpA family protein disulfide reductase			ABO_RS00165	810	269	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	34895	35443	+					dsbG		ABO_RS00170	549		old_locus_tag=ABO_0033
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	34895	35443	+	WP_011587331.1	WP_011587331.1		thiol:disulfide interchange protein DsbG	dsbG		ABO_RS00170	549	182	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	35544	36836	-							ABO_RS00175	1293		old_locus_tag=ABO_0034
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	35544	36836	-	WP_046961592.1	WP_046961592.1		dihydroorotase			ABO_RS00175	1293	430	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	36823	37836	-							ABO_RS00180	1014		old_locus_tag=ABO_0035
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	36823	37836	-	WP_011587333.1	WP_011587333.1		aspartate carbamoyltransferase catalytic subunit			ABO_RS00180	1014	337	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	37839	38387	-					pyrR		ABO_RS00185	549		old_locus_tag=ABO_0036
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	37839	38387	-	WP_011587334.1	WP_011587334.1		bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	pyrR		ABO_RS00185	549	182	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	38616	39209	+							ABO_RS00190	594		old_locus_tag=ABO_0037
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	38616	39209	+	WP_011587335.1	WP_011587335.1		cytochrome b			ABO_RS00190	594	197	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	39234	39824	+							ABO_RS00195	591		old_locus_tag=ABO_0038
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	39234	39824	+	WP_041705191.1	WP_041705191.1		YceI family protein			ABO_RS00195	591	196	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	39944	40759	-							ABO_RS00200	816		old_locus_tag=ABO_0039
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	39944	40759	-	WP_011587337.1	WP_011587337.1		DUF3298 and DUF4163 domain-containing protein			ABO_RS00200	816	271	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	40889	41335	+							ABO_RS00205	447		old_locus_tag=ABO_0040
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	40889	41335	+	WP_011587338.1	WP_011587338.1		YtoQ family protein			ABO_RS00205	447	148	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	41477	41950	+							ABO_RS00210	474		old_locus_tag=ABO_0041
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	41477	41950	+	WP_011587339.1	WP_011587339.1		hypothetical protein			ABO_RS00210	474	157	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	42108	43025	-							ABO_RS00215	918		old_locus_tag=ABO_0042
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	42108	43025	-	WP_011587340.1	WP_011587340.1		homoserine kinase			ABO_RS00215	918	305	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	43290	44318	+							ABO_RS00220	1029		old_locus_tag=ABO_0043
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	43290	44318	+	WP_011587341.1	WP_011587341.1		alpha/beta hydrolase			ABO_RS00220	1029	342	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	44641	45114	-							ABO_RS00225	474		old_locus_tag=ABO_0044
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	44641	45114	-	WP_011587342.1	WP_011587342.1		peroxiredoxin			ABO_RS00225	474	157	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	45377	47296	-							ABO_RS00230	1920		old_locus_tag=ABO_0045
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	45377	47296	-	WP_011587343.1	WP_011587343.1		hypothetical protein			ABO_RS00230	1920	639	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	47966	50062	-							ABO_RS00235	2097		old_locus_tag=ABO_0046
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	47966	50062	-	WP_011587344.1	WP_011587344.1		VIT and VWA domain-containing protein			ABO_RS00235	2097	698	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	50181	50639	-							ABO_RS00240	459		old_locus_tag=ABO_0047
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	50181	50639	-	WP_101234994.1	WP_101234994.1		hypothetical protein			ABO_RS00240	459	152	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	50728	51213	-							ABO_RS00245	486		old_locus_tag=ABO_0048
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	50728	51213	-	WP_011587346.1	WP_011587346.1		YajQ family cyclic di-GMP-binding protein			ABO_RS00245	486	161	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	51434	52393	+							ABO_RS00250	960		old_locus_tag=ABO_0049
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	51434	52393	+	WP_011587347.1	WP_011587347.1		hypothetical protein			ABO_RS00250	960	319	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	52407	52673	+							ABO_RS00255	267		old_locus_tag=ABO_0050
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	52407	52673	+	WP_011587348.1	WP_011587348.1		hypothetical protein			ABO_RS00255	267	88	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	52974	53705	+							ABO_RS00260	732		old_locus_tag=ABO_0051
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	52974	53705	+	WP_011587349.1	WP_011587349.1		glutamine amidotransferase			ABO_RS00260	732	243	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	53898	54602	-							ABO_RS00265	705		old_locus_tag=ABO_0052
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	53898	54602	-	WP_011587350.1	WP_011587350.1		DUF4197 domain-containing protein			ABO_RS00265	705	234	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	54715	55335	+							ABO_RS00270	621		old_locus_tag=ABO_0053
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	54715	55335	+	WP_011587351.1	WP_011587351.1		acyltransferase			ABO_RS00270	621	206	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	55586	56191	+							ABO_RS00275	606		old_locus_tag=ABO_0054
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	55586	56191	+	WP_011587352.1	WP_011587352.1		TetR/AcrR family transcriptional regulator			ABO_RS00275	606	201	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	56255	58141	+							ABO_RS00280	1887		old_locus_tag=ABO_0055
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	56255	58141	+	WP_041704549.1	WP_041704549.1		MFS transporter			ABO_RS00280	1887	628	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	58299	58958	+							ABO_RS00285	660		old_locus_tag=ABO_0056
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	58299	58958	+	WP_101234992.1	WP_101234992.1		hypothetical protein			ABO_RS00285	660	219	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	58962	60218	+							ABO_RS00290	1257		old_locus_tag=ABO_0057
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	58962	60218	+	WP_011587355.1	WP_011587355.1		hypothetical protein			ABO_RS00290	1257	418	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	60382	60918	+							ABO_RS00295	537		old_locus_tag=ABO_0058
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	60382	60918	+	WP_011587356.1	WP_011587356.1		cytochrome b/b6 domain-containing protein			ABO_RS00295	537	178	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	61052	61468	+					arfB		ABO_RS00300	417		old_locus_tag=ABO_0059
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	61052	61468	+	WP_035459646.1	WP_035459646.1		aminoacyl-tRNA hydrolase	arfB		ABO_RS00300	417	138	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	61921	63291	+							ABO_RS00305	1371		old_locus_tag=ABO_0060
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	61921	63291	+	WP_011587358.1	WP_011587358.1		hypothetical protein			ABO_RS00305	1371	456	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	63683	64639	+							ABO_RS00310	957		old_locus_tag=ABO_0061
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	63683	64639	+	WP_011587359.1	WP_011587359.1		NAD(P)-dependent alcohol dehydrogenase			ABO_RS00310	957	318	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	64661	65128	-							ABO_RS00315	468		old_locus_tag=ABO_0062
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	64661	65128	-	WP_011587360.1	WP_011587360.1		hypothetical protein			ABO_RS00315	468	155	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	65166	67340	-							ABO_RS00320	2175		old_locus_tag=ABO_0063
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	65166	67340	-	WP_041705193.1	WP_041705193.1		OsmC domain/YcaO domain-containing protein			ABO_RS00320	2175	724	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	67549	68013	+							ABO_RS00325	465		old_locus_tag=ABO_0064
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	67549	68013	+	WP_011587362.1	WP_011587362.1		bacteriohemerythrin			ABO_RS00325	465	154	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	68167	68403	-							ABO_RS00330	237		old_locus_tag=ABO_0065
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	68167	68403	-	WP_035461606.1	WP_035461606.1		DUF5062 family protein			ABO_RS00330	237	78	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	68748	69449	-							ABO_RS00335	702		old_locus_tag=ABO_0066
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	68748	69449	-	WP_011587364.1	WP_011587364.1		fumarylacetoacetate hydrolase family protein			ABO_RS00335	702	233	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	69442	70836	-							ABO_RS00340	1395		old_locus_tag=ABO_0067
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	69442	70836	-	WP_035461604.1	WP_035461604.1		FAD-binding oxidoreductase			ABO_RS00340	1395	464	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	70979	72208	+					serA		ABO_RS00345	1230		old_locus_tag=ABO_0068
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	70979	72208	+	WP_011587366.1	WP_011587366.1		phosphoglycerate dehydrogenase	serA		ABO_RS00345	1230	409	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	72335	73702	+							ABO_RS00350	1368		old_locus_tag=ABO_0069
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	72335	73702	+	WP_011587367.1	WP_011587367.1		hypothetical protein			ABO_RS00350	1368	455	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	73699	74097	+							ABO_RS00355	399		old_locus_tag=ABO_0070
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	73699	74097	+	WP_011587368.1	WP_011587368.1		YcfL family protein			ABO_RS00355	399	132	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	74141	74731	+					lpoB		ABO_RS00360	591		old_locus_tag=ABO_0071
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	74141	74731	+	WP_011587369.1	WP_011587369.1		penicillin-binding protein activator LpoB	lpoB		ABO_RS00360	591	196	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	74931	76223	+							ABO_RS00365	1293		old_locus_tag=ABO_0072
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	74931	76223	+	WP_011587370.1	WP_011587370.1		hypothetical protein			ABO_RS00365	1293	430	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	76396	77655	-							ABO_RS00370	1260		old_locus_tag=ABO_0073
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	76396	77655	-	WP_011587371.1	WP_011587371.1		PepSY domain-containing protein			ABO_RS00370	1260	419	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	77735	78337	-							ABO_RS00375	603		old_locus_tag=ABO_0074
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	77735	78337	-	WP_011587372.1	WP_011587372.1		HPP family protein			ABO_RS00375	603	200	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	78488	80275	+							ABO_RS00380	1788		old_locus_tag=ABO_0075
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	78488	80275	+	WP_011587373.1	WP_011587373.1		monovalent cation:proton antiporter-2 (CPA2) family protein			ABO_RS00380	1788	595	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	80393	82531	+							ABO_RS00385	2139		old_locus_tag=ABO_0076
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	80393	82531	+	WP_148201409.1	WP_148201409.1		TonB-dependent siderophore receptor			ABO_RS00385	2139	712	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	82763	83182	-							ABO_RS00390	420		old_locus_tag=ABO_0078
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	82763	83182	-	WP_041704560.1	WP_041704560.1		SRPBCC family protein			ABO_RS00390	420	139	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	83762	84289	-							ABO_RS00395	528		old_locus_tag=ABO_0079
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	83762	84289	-	WP_231483534.1	WP_231483534.1		GNAT family N-acetyltransferase			ABO_RS00395	528	175	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	84351	86036	-					ggt		ABO_RS00400	1686		old_locus_tag=ABO_0080
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	84351	86036	-	WP_011587378.1	WP_011587378.1		gamma-glutamyltransferase	ggt		ABO_RS00400	1686	561	
gene	protein_coding	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	86270	86761	-					coaD		ABO_RS00405	492		old_locus_tag=ABO_0081
CDS	with_protein	GCF_000009365.1	Primary Assembly	chromosome		NC_008260.1	86270	86761	-	WP_035461592.1	WP_035461592.1		pantetheine-phosphate adenylyltransferase	coaD		ABO_RS00405	492	163	
