# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	12907	13635	-							S7S_RS00060	729		old_locus_tag=S7S_00060
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	12907	13635	-	WP_008734370.1	WP_008734370.1		DUF4197 domain-containing protein			S7S_RS00060	729	242	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	13740	14357	+							S7S_RS00065	618		old_locus_tag=S7S_00065
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	13740	14357	+	WP_008734368.1	WP_008734368.1		acyltransferase			S7S_RS00065	618	205	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	14432	16318	+							S7S_RS00070	1887		old_locus_tag=S7S_00070
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	14432	16318	+	WP_008734367.1	WP_008734367.1		MFS transporter			S7S_RS00070	1887	628	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	16366	16725	+							S7S_RS00075	360		old_locus_tag=S7S_00075
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	16366	16725	+	WP_202966514.1	WP_202966514.1		VanZ family protein			S7S_RS00075	360	119	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	16738	17187	-							S7S_RS00080	450		old_locus_tag=S7S_00080
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	16738	17187	-	WP_008734361.1	WP_008734361.1		DUF4124 domain-containing protein			S7S_RS00080	450	149	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	17300	18223	-							S7S_RS00085	924		old_locus_tag=S7S_00085
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	17300	18223	-	WP_008734359.1	WP_008734359.1		hydroxymethylglutaryl-CoA lyase			S7S_RS00085	924	307	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	18498	19334	+							S7S_RS00090	837		old_locus_tag=S7S_00090
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	18498	19334	+	WP_238582975.1	WP_238582975.1		YihY/virulence factor BrkB family protein			S7S_RS00090	837	278	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	19680	20564	+							S7S_RS00095	885		old_locus_tag=S7S_00095
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	19680	20564	+	WP_008734355.1	WP_008734355.1		triacylglycerol lipase			S7S_RS00095	885	294	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	20745	21233	+							S7S_RS00100	489		old_locus_tag=S7S_00100
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	20745	21233	+	WP_035203718.1	WP_035203718.1		OsmC family protein			S7S_RS00100	489	162	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	21444	22586	+							S7S_RS00105	1143		old_locus_tag=S7S_00105
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	21444	22586	+	WP_008734351.1	WP_008734351.1		acyl-CoA dehydrogenase family protein			S7S_RS00105	1143	380	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	22689	23993	+					chrA		S7S_RS00110	1305		old_locus_tag=S7S_00110
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	22689	23993	+	WP_008734349.1	WP_008734349.1		chromate efflux transporter	chrA		S7S_RS00110	1305	434	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	23987	24667	-							S7S_RS00115	681		old_locus_tag=S7S_00115
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	23987	24667	-	WP_008734347.1	WP_008734347.1		GntR family transcriptional regulator			S7S_RS00115	681	226	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	24830	25978	+							S7S_RS00120	1149		old_locus_tag=S7S_00120
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	24830	25978	+	WP_008734344.1	WP_008734344.1		alkane 1-monooxygenase			S7S_RS00120	1149	382	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	26241	27695	-							S7S_RS00125	1455		old_locus_tag=S7S_00125
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	26241	27695	-	WP_008734342.1	WP_008734342.1		TrkH family potassium uptake protein			S7S_RS00125	1455	484	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	27718	29091	-					trkA		S7S_RS00130	1374		old_locus_tag=S7S_00130
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	27718	29091	-	WP_008734341.1	WP_008734341.1		Trk system potassium transporter TrkA	trkA		S7S_RS00130	1374	457	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	29119	30423	-					rsmB		S7S_RS00135	1305		old_locus_tag=S7S_00135
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	29119	30423	-	WP_008734339.1	WP_008734339.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		S7S_RS00135	1305	434	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	30420	31382	-					fmt		S7S_RS00140	963		old_locus_tag=S7S_00140
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	30420	31382	-	WP_008734336.1	WP_008734336.1		methionyl-tRNA formyltransferase	fmt		S7S_RS00140	963	320	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	31443	31949	-					def		S7S_RS00145	507		old_locus_tag=S7S_00145
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	31443	31949	-	WP_008734333.1	WP_008734333.1		peptide deformylase	def		S7S_RS00145	507	168	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	32166	33233	+							S7S_RS00150	1068		old_locus_tag=S7S_00150
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	32166	33233	+	WP_008734331.1	WP_008734331.1		LysM peptidoglycan-binding domain-containing protein			S7S_RS00150	1068	355	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	33298	34350	+					dprA		S7S_RS00155	1053		old_locus_tag=S7S_00155
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	33298	34350	+	WP_008734329.1	WP_008734329.1		DNA-processing protein DprA	dprA		S7S_RS00155	1053	350	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	34436	35002	+							S7S_RS00160	567		old_locus_tag=S7S_00160
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	34436	35002	+	WP_035203591.1	WP_035203591.1		threonylcarbamoyl-AMP synthase			S7S_RS00160	567	188	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	35030	35938	+					hemF		S7S_RS00165	909		old_locus_tag=S7S_00165
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	35030	35938	+	WP_008734325.1	WP_008734325.1		oxygen-dependent coproporphyrinogen oxidase	hemF		S7S_RS00165	909	302	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	35935	36756	+					aroE		S7S_RS00170	822		old_locus_tag=S7S_00170
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	35935	36756	+	WP_008734323.1	WP_008734323.1		shikimate dehydrogenase	aroE		S7S_RS00170	822	273	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	37073	38056	+							S7S_RS00175	984		old_locus_tag=S7S_00175
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	37073	38056	+	WP_035203589.1	WP_035203589.1		lipid A deacylase LpxR family protein			S7S_RS00175	984	327	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	38057	38593	-							S7S_RS00180	537		old_locus_tag=S7S_00180
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	38057	38593	-	WP_008734317.1	WP_008734317.1		gamma carbonic anhydrase family protein			S7S_RS00180	537	178	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	38719	40755	+					prlC		S7S_RS00185	2037		old_locus_tag=S7S_00185
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	38719	40755	+	WP_008734315.1	WP_008734315.1		oligopeptidase A	prlC		S7S_RS00185	2037	678	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	40815	40955	+							S7S_RS00190	141		old_locus_tag=S7S_00190
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	40815	40955	+	WP_238582976.1	WP_238582976.1		hypothetical protein			S7S_RS00190	141	46	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	41302	42129	+							S7S_RS19455	828		
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	41302	42129	+	WP_144401548.1	WP_144401548.1		hypothetical protein			S7S_RS19455	828	275	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	42347	42589	+							S7S_RS19460	243		
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	42347	42589	+	WP_144401549.1	WP_144401549.1		hypothetical protein			S7S_RS19460	243	80	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	42593	42865	+							S7S_RS19465	273		
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	42593	42865	+	WP_144401550.1	WP_144401550.1		hypothetical protein			S7S_RS19465	273	90	
gene	pseudogene	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	43002	43325	+							S7S_RS19015	324		partial;pseudo
CDS	without_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	43002	43325	+				transposase			S7S_RS19015	324		partial;pseudo
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	43774	44028	+							S7S_RS00195	255		old_locus_tag=S7S_00195
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	43774	44028	+	WP_008734312.1	WP_008734312.1		type II toxin-antitoxin system ParD family antitoxin			S7S_RS00195	255	84	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	44028	44324	+							S7S_RS00200	297		old_locus_tag=S7S_00200
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	44028	44324	+	WP_008734310.1	WP_008734310.1		type II toxin-antitoxin system RelE/ParE family toxin			S7S_RS00200	297	98	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	45030	46730	-							S7S_RS00205	1701		old_locus_tag=S7S_00205
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	45030	46730	-	WP_008734309.1	WP_008734309.1		MBL fold metallo-hydrolase			S7S_RS00205	1701	566	
gene	pseudogene	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	46932	47393	+							S7S_RS19950	462		partial;pseudo
CDS	without_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	46932	47393	+				AraC family transcriptional regulator			S7S_RS19950	462		partial;pseudo
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	47619	47858	+							S7S_RS19955	240		
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	47619	47858	+	WP_238582977.1	WP_238582977.1		helix-turn-helix transcriptional regulator			S7S_RS19955	240	79	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	47860	48267	-							S7S_RS00215	408		old_locus_tag=S7S_00215
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	47860	48267	-	WP_008734305.1	WP_008734305.1		nuclear transport factor 2 family protein			S7S_RS00215	408	135	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	48439	49593	+							S7S_RS00220	1155		old_locus_tag=S7S_00220
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	48439	49593	+	WP_008734304.1	WP_008734304.1		alkane 1-monooxygenase			S7S_RS00220	1155	384	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	49618	49917	-							S7S_RS00225	300		old_locus_tag=S7S_00225
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	49618	49917	-	WP_008734302.1	WP_008734302.1		DUF3325 domain-containing protein			S7S_RS00225	300	99	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	49914	51479	-							S7S_RS00230	1566		old_locus_tag=S7S_00230
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	49914	51479	-	WP_008734300.1	WP_008734300.1		PepSY domain-containing protein			S7S_RS00230	1566	521	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	51476	51793	-							S7S_RS00235	318		old_locus_tag=S7S_00235
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	51476	51793	-	WP_008734299.1	WP_008734299.1		DUF3649 domain-containing protein			S7S_RS00235	318	105	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	51898	52911	-							S7S_RS00240	1014		old_locus_tag=S7S_00240
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	51898	52911	-	WP_008734298.1	WP_008734298.1		DUF2914 domain-containing protein			S7S_RS00240	1014	337	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	53088	54995	+					htpG		S7S_RS00245	1908		old_locus_tag=S7S_00245
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	53088	54995	+	WP_008734297.1	WP_008734297.1		molecular chaperone HtpG	htpG		S7S_RS00245	1908	635	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	55188	56612	-							S7S_RS00250	1425		old_locus_tag=S7S_00250
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	55188	56612	-	WP_008734296.1	WP_008734296.1		AsmA family protein			S7S_RS00250	1425	474	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	56641	58719	-					recG		S7S_RS00255	2079		old_locus_tag=S7S_00255
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	56641	58719	-	WP_008734295.1	WP_008734295.1		ATP-dependent DNA helicase RecG	recG		S7S_RS00255	2079	692	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	58716	59618	-							S7S_RS00260	903		old_locus_tag=S7S_00260
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	58716	59618	-	WP_035203584.1	WP_035203584.1		hydrogen peroxide-inducible genes activator			S7S_RS00260	903	300	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	59723	60553	+							S7S_RS00265	831		old_locus_tag=S7S_00265
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	59723	60553	+	WP_008734293.1	WP_008734293.1		hypothetical protein			S7S_RS00265	831	276	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	60589	60975	-							S7S_RS00270	387		old_locus_tag=S7S_00270
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	60589	60975	-	WP_008734292.1	WP_008734292.1		RidA family protein			S7S_RS00270	387	128	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	61011	63128	-					spoT		S7S_RS00275	2118		old_locus_tag=S7S_00275
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	61011	63128	-	WP_008734291.1	WP_008734291.1		bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	spoT		S7S_RS00275	2118	705	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	63279	63542	-					rpoZ		S7S_RS00280	264		old_locus_tag=S7S_00280
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	63279	63542	-	WP_008734290.1	WP_008734290.1		DNA-directed RNA polymerase subunit omega	rpoZ		S7S_RS00280	264	87	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	63607	64242	-					gmk		S7S_RS00285	636		old_locus_tag=S7S_00285
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	63607	64242	-	WP_144401715.1	WP_144401715.1		guanylate kinase	gmk		S7S_RS00285	636	211	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	64515	65771	+							S7S_RS00290	1257		old_locus_tag=S7S_00290
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	64515	65771	+	WP_008734288.1	WP_008734288.1		ATP-binding protein			S7S_RS00290	1257	418	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	65887	66798	-							S7S_RS00295	912		old_locus_tag=S7S_00295
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	65887	66798	-	WP_035203582.1	WP_035203582.1		redoxin family protein			S7S_RS00295	912	303	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	67408	67695	+							S7S_RS00300	288		old_locus_tag=S7S_00300
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	67408	67695	+	WP_008734286.1	WP_008734286.1		helix-turn-helix domain-containing protein			S7S_RS00300	288	95	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	67685	68404	+							S7S_RS00305	720		old_locus_tag=S7S_00305
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	67685	68404	+	WP_238582917.1	WP_238582917.1		type II toxin-antitoxin system HipA family toxin			S7S_RS00305	720	239	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	68374	69240	-							S7S_RS00310	867		old_locus_tag=S7S_00310
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	68374	69240	-	WP_041025831.1	WP_041025831.1		IS3 family transposase			S7S_RS00310	867	288	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	69237	69530	-							S7S_RS00315	294		old_locus_tag=S7S_00315
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	69237	69530	-	WP_041025832.1	WP_041025832.1		transposase			S7S_RS00315	294	97	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	69590	70846	-							S7S_RS00320	1257		old_locus_tag=S7S_00320
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	69590	70846	-	WP_008740525.1	WP_008740525.1		ISL3-like element ISPpu12 family transposase			S7S_RS00320	1257	418	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	70868	71380	-					lspA		S7S_RS00325	513		old_locus_tag=S7S_00325
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	70868	71380	-	WP_008740521.1	WP_008740521.1		signal peptidase II	lspA		S7S_RS00325	513	170	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	71384	72280	-							S7S_RS00330	897		old_locus_tag=S7S_00330
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	71384	72280	-	WP_004574643.1	WP_004574643.1		cation transporter			S7S_RS00330	897	298	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	72376	72783	+					cadR		S7S_RS00335	408		old_locus_tag=S7S_00335
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	72376	72783	+	WP_008740519.1	WP_008740519.1		Cd(II)/Pb(II)-responsive transcriptional regulator	cadR		S7S_RS00335	408	135	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	72946	73611	+							S7S_RS00340	666		old_locus_tag=S7S_00340
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	72946	73611	+	WP_008740518.1	WP_008740518.1		response regulator transcription factor			S7S_RS00340	666	221	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	73634	74971	+							S7S_RS00345	1338		old_locus_tag=S7S_00345
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	73634	74971	+	WP_202966515.1	WP_202966515.1		sensor histidine kinase			S7S_RS00345	1338	445	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	75323	76903	-							S7S_RS00350	1581		old_locus_tag=S7S_00350
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	75323	76903	-	WP_041025833.1	WP_041025833.1		IS66 family transposase			S7S_RS00350	1581	526	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	76987	77322	-					tnpB		S7S_RS00355	336		old_locus_tag=S7S_00355
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	76987	77322	-	WP_041025834.1	WP_041025834.1		IS66 family insertion sequence element accessory protein TnpB	tnpB		S7S_RS00355	336	111	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	77319	77657	-							S7S_RS00360	339		old_locus_tag=S7S_00360
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	77319	77657	-	WP_082027590.1	WP_082027590.1		transposase			S7S_RS00360	339	112	
gene	protein_coding	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	78022	79239	-							S7S_RS00365	1218		old_locus_tag=S7S_00365
CDS	with_protein	GCF_000299335.2	Primary Assembly	chromosome		NZ_CP004387.1	78022	79239	-	WP_008739035.1	WP_008739035.1		site-specific integrase			S7S_RS00365	1218	405	
