# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	6368	7198	-	WP_157745153.1	WP_157745153.1		DUF5694 domain-containing protein			CNR27_RS00040	831	276	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	7356	7739	+							CNR27_RS00045	384		old_locus_tag=CNR27_00045
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	7356	7739	+	WP_096296376.1	WP_096296376.1		VOC family protein			CNR27_RS00045	384	127	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	7905	8837	-							CNR27_RS00050	933		old_locus_tag=CNR27_00050
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	7905	8837	-	WP_096296377.1	WP_096296377.1		MBL fold metallo-hydrolase			CNR27_RS00050	933	310	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	8913	9224	-							CNR27_RS00055	312		old_locus_tag=CNR27_00055
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	8913	9224	-	WP_096296378.1	WP_096296378.1		hypothetical protein			CNR27_RS00055	312	103	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	9221	10540	-							CNR27_RS00060	1320		old_locus_tag=CNR27_00060
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	9221	10540	-	WP_096296379.1	WP_096296379.1		tryptophan--tRNA ligase			CNR27_RS00060	1320	439	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	10823	11026	-							CNR27_RS00065	204		old_locus_tag=CNR27_00065
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	10823	11026	-	WP_096296380.1	WP_096296380.1		CsbD family protein			CNR27_RS00065	204	67	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	11226	11384	-							CNR27_RS00070	159		old_locus_tag=CNR27_00070
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	11226	11384	-	WP_096296381.1	WP_096296381.1		entericidin A/B family lipoprotein			CNR27_RS00070	159	52	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	11541	12464	-					rocF		CNR27_RS00075	924		old_locus_tag=CNR27_00075
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	11541	12464	-	WP_096296382.1	WP_096296382.1		arginase	rocF		CNR27_RS00075	924	307	
gene	tRNA	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	12577	12652	-							CNR27_RS00080	76		old_locus_tag=CNR27_00080
tRNA		GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	12577	12652	-				tRNA-Thr			CNR27_RS00080	76		anticodon=TGT
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	12682	13425	-							CNR27_RS00085	744		old_locus_tag=CNR27_00085
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	12682	13425	-	WP_096296383.1	WP_096296383.1		SPOR domain-containing protein			CNR27_RS00085	744	247	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	13435	14184	-							CNR27_RS00090	750		old_locus_tag=CNR27_00090
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	13435	14184	-	WP_096296384.1	WP_096296384.1		type III pantothenate kinase			CNR27_RS00090	750	249	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	14181	15209	-					birA		CNR27_RS00095	1029		old_locus_tag=CNR27_00095
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	14181	15209	-	WP_096296385.1	WP_096296385.1		bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA	birA		CNR27_RS00095	1029	342	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	15319	15585	+							CNR27_RS15620	267		
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	15319	15585	+	WP_233580117.1	WP_233580117.1		hypothetical protein			CNR27_RS15620	267	88	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	15602	16441	+							CNR27_RS00100	840		old_locus_tag=CNR27_00100
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	15602	16441	+	WP_245815677.1	WP_245815677.1		zinc-dependent peptidase			CNR27_RS00100	840	279	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	16360	17778	-							CNR27_RS00105	1419		old_locus_tag=CNR27_00105
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	16360	17778	-	WP_096296387.1	WP_096296387.1		ATP-binding protein			CNR27_RS00105	1419	472	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	17862	18548	-							CNR27_RS00110	687		old_locus_tag=CNR27_00110
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	17862	18548	-	WP_096296388.1	WP_096296388.1		response regulator transcription factor			CNR27_RS00110	687	228	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	18605	18940	-							CNR27_RS00115	336		old_locus_tag=CNR27_00115
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	18605	18940	-	WP_096296389.1	WP_096296389.1		hypothetical protein			CNR27_RS00115	336	111	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	19091	20125	-					dusA		CNR27_RS00120	1035		old_locus_tag=CNR27_00120
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	19091	20125	-	WP_096296390.1	WP_096296390.1		tRNA dihydrouridine(20/20a) synthase DusA	dusA		CNR27_RS00120	1035	344	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	20275	20682	+							CNR27_RS00125	408		old_locus_tag=CNR27_00125
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	20275	20682	+	WP_096296391.1	WP_096296391.1		hypothetical protein			CNR27_RS00125	408	135	
gene	pseudogene	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	20781	21128	-							CNR27_RS00130	348		partial;pseudo;old_locus_tag=CNR27_00130
CDS	without_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	20781	21128	-				hypothetical protein			CNR27_RS00130	348		partial;pseudo
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	21125	22081	-							CNR27_RS00135	957		old_locus_tag=CNR27_00135
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	21125	22081	-	WP_096296392.1	WP_096296392.1		hypothetical protein			CNR27_RS00135	957	318	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	22312	23232	+					prmA		CNR27_RS00140	921		old_locus_tag=CNR27_00140
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	22312	23232	+	WP_096296393.1	WP_096296393.1		50S ribosomal protein L11 methyltransferase	prmA		CNR27_RS00140	921	306	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	23273	24259	+							CNR27_RS00145	987		old_locus_tag=CNR27_00145
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	23273	24259	+	WP_096296394.1	WP_096296394.1		DUF3426 domain-containing protein			CNR27_RS00145	987	328	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	24372	24641	+					fis		CNR27_RS00150	270		old_locus_tag=CNR27_00150
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	24372	24641	+	WP_096296395.1	WP_096296395.1		DNA-binding transcriptional regulator Fis	fis		CNR27_RS00150	270	89	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	24700	26301	+					purH		CNR27_RS00155	1602		old_locus_tag=CNR27_00155
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	24700	26301	+	WP_096296396.1	WP_096296396.1		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH		CNR27_RS00155	1602	533	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	26315	27382	+							CNR27_RS00160	1068		old_locus_tag=CNR27_00160
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	26315	27382	+	WP_245815679.1	WP_245815679.1		calcium/sodium antiporter			CNR27_RS00160	1068	355	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	27613	29100	-							CNR27_RS00165	1488		old_locus_tag=CNR27_00165
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	27613	29100	-	WP_096296398.1	WP_096296398.1		alanine:cation symporter family protein			CNR27_RS00165	1488	495	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	29241	30545	+					purD		CNR27_RS00170	1305		old_locus_tag=CNR27_00170
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	29241	30545	+	WP_096296399.1	WP_096296399.1		phosphoribosylamine--glycine ligase	purD		CNR27_RS00170	1305	434	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	30571	31065	+							CNR27_RS00175	495		old_locus_tag=CNR27_00175
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	30571	31065	+	WP_096296400.1	WP_096296400.1		acyl-CoA thioesterase			CNR27_RS00175	495	164	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	31234	33183	+							CNR27_RS00180	1950		old_locus_tag=CNR27_00180
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	31234	33183	+	WP_096296401.1	WP_096296401.1		MFS transporter			CNR27_RS00180	1950	649	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	33296	33676	+							CNR27_RS00185	381		old_locus_tag=CNR27_00185
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	33296	33676	+	WP_096296402.1	WP_096296402.1		CD225/dispanin family protein			CNR27_RS00185	381	126	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	33676	34113	+							CNR27_RS00190	438		old_locus_tag=CNR27_00190
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	33676	34113	+	WP_096296403.1	WP_096296403.1		DUF2752 domain-containing protein			CNR27_RS00190	438	145	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	34091	35008	-					nudC		CNR27_RS00195	918		old_locus_tag=CNR27_00195
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	34091	35008	-	WP_096296404.1	WP_096296404.1		NAD(+) diphosphatase	nudC		CNR27_RS00195	918	305	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	35056	35430	-					erpA		CNR27_RS00200	375		old_locus_tag=CNR27_00200
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	35056	35430	-	WP_096296405.1	WP_096296405.1		iron-sulfur cluster insertion protein ErpA	erpA		CNR27_RS00200	375	124	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	35463	36182	-							CNR27_RS00205	720		old_locus_tag=CNR27_00205
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	35463	36182	-	WP_245815681.1	WP_245815681.1		type II secretion system protein M			CNR27_RS00205	720	239	
gene	pseudogene	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	36284	36838	+							CNR27_RS00210	555		partial;pseudo;old_locus_tag=CNR27_00210
CDS	without_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	36284	36838	+				DUF4126 domain-containing protein			CNR27_RS00210	555		partial;pseudo
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	36961	38772	+							CNR27_RS00215	1812		old_locus_tag=CNR27_00215
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	36961	38772	+	WP_096296407.1	WP_096296407.1		EAL domain-containing response regulator			CNR27_RS00215	1812	603	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	39062	41569	+							CNR27_RS00220	2508		old_locus_tag=CNR27_00220
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	39062	41569	+	WP_245815683.1	WP_245815683.1		ATP-binding protein			CNR27_RS00220	2508	835	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	41594	42067	-					bfr		CNR27_RS00225	474		old_locus_tag=CNR27_00225
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	41594	42067	-	WP_096296408.1	WP_096296408.1		bacterioferritin	bfr		CNR27_RS00225	474	157	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	42173	42385	-							CNR27_RS00230	213		old_locus_tag=CNR27_00230
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	42173	42385	-	WP_096296409.1	WP_096296409.1		(2Fe-2S)-binding protein			CNR27_RS00230	213	70	
gene	pseudogene	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	42552	43064	-							CNR27_RS00235	513		partial;pseudo;old_locus_tag=CNR27_00235
CDS	without_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	42552	43064	-				RNA pyrophosphohydrolase			CNR27_RS00235	513		partial;pseudo
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	43422	47249	-							CNR27_RS00240	3828		old_locus_tag=CNR27_00240
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	43422	47249	-	WP_096296411.1	WP_096296411.1		glycosyltransferase			CNR27_RS00240	3828	1275	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	48130	49122	+							CNR27_RS00245	993		old_locus_tag=CNR27_00245
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	48130	49122	+	WP_157745154.1	WP_157745154.1		hypothetical protein			CNR27_RS00245	993	330	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	49195	50481	+							CNR27_RS00250	1287		old_locus_tag=CNR27_00250
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	49195	50481	+	WP_096296413.1	WP_096296413.1		MBL fold metallo-hydrolase			CNR27_RS00250	1287	428	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	50686	51809	+							CNR27_RS00255	1124		old_locus_tag=CNR27_00255
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	50686	51809	+	WP_096296414.1	WP_096296414.1		IS3 family transposase			CNR27_RS00255	1125	374	ribosomal_slippage
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	52044	52226	-							CNR27_RS15095	183		
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	52044	52226	-	WP_157745155.1	WP_157745155.1		hypothetical protein			CNR27_RS15095	183	60	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	52449	52631	-							CNR27_RS00260	183		old_locus_tag=CNR27_00260
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	52449	52631	-	WP_222843112.1	WP_222843112.1		type I restriction-modification system subunit M N-terminal domain-containing protein			CNR27_RS00260	183	60	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	52684	55140	-							CNR27_RS00265	2457		old_locus_tag=CNR27_00265
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	52684	55140	-	WP_157745156.1	WP_157745156.1		hypothetical protein			CNR27_RS00265	2457	818	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	55610	55885	+							CNR27_RS15510	276		old_locus_tag=CNR27_00275
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	55610	55885	+	WP_245815685.1	WP_245815685.1		type I restriction-modification system subunit M N-terminal domain-containing protein			CNR27_RS15510	276	91	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	55878	56297	+							CNR27_RS15515	420		old_locus_tag=CNR27_00280
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	55878	56297	+	WP_157745157.1	WP_157745157.1		DUF3387 domain-containing protein			CNR27_RS15515	420	139	
gene	tRNA	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	56644	56720	-							CNR27_RS00290	77		old_locus_tag=CNR27_00290
tRNA		GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	56644	56720	-				tRNA-Met			CNR27_RS00290	77		anticodon=CAT
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	56813	58966	-							CNR27_RS00295	2154		old_locus_tag=CNR27_00295
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	56813	58966	-	WP_096300105.1	WP_096300105.1		S9 family peptidase			CNR27_RS00295	2154	717	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	59106	61214	-							CNR27_RS00300	2109		old_locus_tag=CNR27_00300
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	59106	61214	-	WP_096296418.1	WP_096296418.1		prolyl oligopeptidase family serine peptidase			CNR27_RS00300	2109	702	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	61314	61667	-							CNR27_RS00305	354		old_locus_tag=CNR27_00305
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	61314	61667	-	WP_157745158.1	WP_157745158.1		hypothetical protein			CNR27_RS00305	354	117	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	62120	63088	-							CNR27_RS00310	969		old_locus_tag=CNR27_00310
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	62120	63088	-	WP_096296420.1	WP_096296420.1		YafY family transcriptional regulator			CNR27_RS00310	969	322	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	63206	63805	+							CNR27_RS00315	600		old_locus_tag=CNR27_00315
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	63206	63805	+	WP_157745159.1	WP_157745159.1		hypothetical protein			CNR27_RS00315	600	199	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	63802	65193	-							CNR27_RS00320	1392		old_locus_tag=CNR27_00320
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	63802	65193	-	WP_179948202.1	WP_179948202.1		FAD/NAD(P)-binding protein			CNR27_RS00320	1392	463	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	65324	67078	+							CNR27_RS00325	1755		old_locus_tag=CNR27_00325
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	65324	67078	+	WP_157745160.1	WP_157745160.1		SLC13 family permease			CNR27_RS00325	1755	584	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	67137	67976	+							CNR27_RS00330	840		old_locus_tag=CNR27_00330
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	67137	67976	+	WP_096296423.1	WP_096296423.1		hypothetical protein			CNR27_RS00330	840	279	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	68156	68749	+							CNR27_RS00335	594		old_locus_tag=CNR27_00335
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	68156	68749	+	WP_158613410.1	WP_158613410.1		DUF481 domain-containing protein			CNR27_RS00335	594	197	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	68813	69724	-					hemC		CNR27_RS00340	912		old_locus_tag=CNR27_00340
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	68813	69724	-	WP_096296425.1	WP_096296425.1		hydroxymethylbilane synthase	hemC		CNR27_RS00340	912	303	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	69769	70500	-							CNR27_RS00345	732		old_locus_tag=CNR27_00345
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	69769	70500	-	WP_096296426.1	WP_096296426.1		LytTR family DNA-binding domain-containing protein			CNR27_RS00345	732	243	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	70497	71567	-							CNR27_RS00350	1071		old_locus_tag=CNR27_00350
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	70497	71567	-	WP_096296427.1	WP_096296427.1		histidine kinase			CNR27_RS00350	1071	356	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	71570	72256	-							CNR27_RS00355	687		old_locus_tag=CNR27_00355
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	71570	72256	-	WP_096296428.1	WP_096296428.1		alpha/beta hydrolase			CNR27_RS00355	687	228	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	72308	74173	-					mdoH		CNR27_RS00360	1866		old_locus_tag=CNR27_00360
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	72308	74173	-	WP_096300109.1	WP_096300109.1		glucans biosynthesis glucosyltransferase MdoH	mdoH		CNR27_RS00360	1866	621	
gene	protein_coding	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	74194	75687	-							CNR27_RS00365	1494		old_locus_tag=CNR27_00365
CDS	with_protein	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	74194	75687	-	WP_222843113.1	WP_222843113.1		glucan biosynthesis protein G			CNR27_RS00365	1494	497	
gene	tRNA	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	75959	76031	-							CNR27_RS00370	73		old_locus_tag=CNR27_00370
tRNA		GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	75959	76031	-				tRNA-Ile			CNR27_RS00370	73		anticodon=CAT
gene	rRNA	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	76401	76514	-					rrf		CNR27_RS00375	114		old_locus_tag=CNR27_00375
rRNA		GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	76401	76514	-				5S ribosomal RNA	rrf		CNR27_RS00375	114		
gene	rRNA	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	76685	79567	-							CNR27_RS00380	2883		old_locus_tag=CNR27_00380
rRNA		GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	76685	79567	-				23S ribosomal RNA			CNR27_RS00380	2883		
gene	tRNA	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	79807	79882	-							CNR27_RS00385	76		old_locus_tag=CNR27_00385
tRNA		GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	79807	79882	-				tRNA-Ala			CNR27_RS00385	76		anticodon=TGC
gene	tRNA	GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	79887	79963	-							CNR27_RS00390	77		old_locus_tag=CNR27_00390
tRNA		GCF_002327105.1	Primary Assembly	chromosome		NZ_CP023406.1	79887	79963	-				tRNA-Ile			CNR27_RS00390	77		anticodon=GAT
