# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	21442	23364	+					dnaK		FPZ22_RS00120	1923		pseudo;old_locus_tag=FPZ22_00120
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	21442	23364	+				molecular chaperone DnaK	dnaK		FPZ22_RS00120	1923		pseudo
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	23468	24595	+					dnaJ		FPZ22_RS00125	1128		old_locus_tag=FPZ22_00125
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	23468	24595	+	WP_144889182.1	WP_144889182.1		molecular chaperone DnaJ	dnaJ		FPZ22_RS00125	1128	375	
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	24611	25323	+					dapB		FPZ22_RS00130	713		pseudo;old_locus_tag=FPZ22_00130
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	24611	25323	+				4-hydroxy-tetrahydrodipicolinate reductase	dapB		FPZ22_RS00130	713		pseudo
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	25456	26586	+					carA		FPZ22_RS00135	1131		old_locus_tag=FPZ22_00135
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	25456	26586	+	WP_144889184.1	WP_144889184.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA		FPZ22_RS00135	1131	376	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	26597	28495	+							FPZ22_RS00140	1899		old_locus_tag=FPZ22_00140
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	26597	28495	+	WP_144889186.1	WP_144889186.1		prolyl oligopeptidase family serine peptidase			FPZ22_RS00140	1899	632	
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	28508	31754	+					carB		FPZ22_RS00145	3247		pseudo;old_locus_tag=FPZ22_00145
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	28508	31754	+				carbamoyl-phosphate synthase large subunit	carB		FPZ22_RS00145	3247		pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	31751	32224	+					greA		FPZ22_RS00150	474		pseudo;old_locus_tag=FPZ22_00150
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	31751	32224	+				transcription elongation factor GreA	greA		FPZ22_RS00150	474		pseudo
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	32232	32390	+							FPZ22_RS13490	159		
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	32232	32390	+	WP_168198881.1	WP_168198881.1		hypothetical protein			FPZ22_RS13490	159	52	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	32513	33172	+							FPZ22_RS00155	660		old_locus_tag=FPZ22_00155
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	32513	33172	+	WP_144889188.1	WP_144889188.1		hypothetical protein			FPZ22_RS00155	660	219	
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	33202	34994	+					recJ		FPZ22_RS00160	1793		pseudo;old_locus_tag=FPZ22_00160
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	33202	34994	+				single-stranded-DNA-specific exonuclease RecJ	recJ		FPZ22_RS00160	1793		pseudo
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	34885	36066	-							FPZ22_RS00165	1182		old_locus_tag=FPZ22_00165
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	34885	36066	-	WP_210412679.1	WP_210412679.1		acyltransferase			FPZ22_RS00165	1182	393	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	36225	37112	+							FPZ22_RS00170	888		old_locus_tag=FPZ22_00170
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	36225	37112	+	WP_144889190.1	WP_144889190.1		LytTR family transcriptional regulator			FPZ22_RS00170	888	295	
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	37188	38317	+					prfB		FPZ22_RS00175	1130		pseudo;old_locus_tag=FPZ22_00175
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	37188	38317	+				peptide chain release factor 2	prfB		FPZ22_RS00175	1130		pseudo
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	38352	39878	+					lysS		FPZ22_RS00180	1527		old_locus_tag=FPZ22_00180
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	38352	39878	+	WP_144889192.1	WP_144889192.1		lysine--tRNA ligase	lysS		FPZ22_RS00180	1527	508	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	40015	41058	+							FPZ22_RS00185	1044		old_locus_tag=FPZ22_00185
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	40015	41058	+	WP_246120956.1	WP_246120956.1		response regulator			FPZ22_RS00185	1044	347	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	41064	43196	+							FPZ22_RS00190	2133		old_locus_tag=FPZ22_00190
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	41064	43196	+	WP_144889196.1	WP_144889196.1		ATP-binding protein			FPZ22_RS00190	2133	710	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	43207	44133	-							FPZ22_RS00195	927		old_locus_tag=FPZ22_00195
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	43207	44133	-	WP_144889198.1	WP_144889198.1		crotonase/enoyl-CoA hydratase family protein			FPZ22_RS00195	927	308	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	44310	45992	-							FPZ22_RS00200	1683		old_locus_tag=FPZ22_00200
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	44310	45992	-	WP_144889200.1	WP_144889200.1		long-chain fatty acid--CoA ligase			FPZ22_RS00200	1683	560	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	46049	46603	+							FPZ22_RS00205	555		old_locus_tag=FPZ22_00205
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	46049	46603	+	WP_246120774.1	WP_246120774.1		nuclear transport factor 2 family protein			FPZ22_RS00205	555	184	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	46691	49447	-					acnA		FPZ22_RS00210	2757		old_locus_tag=FPZ22_00210
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	46691	49447	-	WP_144889202.1	WP_144889202.1		aconitate hydratase AcnA	acnA		FPZ22_RS00210	2757	918	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	49608	49856	+							FPZ22_RS00215	249		old_locus_tag=FPZ22_00215
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	49608	49856	+	WP_144889204.1	WP_144889204.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein			FPZ22_RS00215	249	82	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	49884	50300	+							FPZ22_RS00220	417		old_locus_tag=FPZ22_00220
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	49884	50300	+	WP_144889206.1	WP_144889206.1		PIN domain-containing protein			FPZ22_RS00220	417	138	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	50389	52983	+					acnB		FPZ22_RS00225	2595		old_locus_tag=FPZ22_00225
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	50389	52983	+	WP_144889208.1	WP_144889208.1		bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	acnB		FPZ22_RS00225	2595	864	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	53072	54535	-							FPZ22_RS00230	1464		old_locus_tag=FPZ22_00230
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	53072	54535	-	WP_144889209.1	WP_144889209.1		MFS transporter			FPZ22_RS00230	1464	487	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	54535	55779	-							FPZ22_RS00235	1245		old_locus_tag=FPZ22_00235
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	54535	55779	-	WP_144889211.1	WP_144889211.1		amidohydrolase			FPZ22_RS00235	1245	414	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	55861	56859	-							FPZ22_RS00240	999		old_locus_tag=FPZ22_00240
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	55861	56859	-	WP_246120957.1	WP_246120957.1		chemotaxis response regulator protein-glutamate methylesterase			FPZ22_RS00240	999	332	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	56925	57515	-					cheD		FPZ22_RS00245	591		old_locus_tag=FPZ22_00245
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	56925	57515	-	WP_144889214.1	WP_144889214.1		chemoreceptor glutamine deamidase CheD	cheD		FPZ22_RS00245	591	196	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	57512	58375	-							FPZ22_RS00250	864		old_locus_tag=FPZ22_00250
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	57512	58375	-	WP_144889216.1	WP_144889216.1		chemotaxis protein CheR			FPZ22_RS00250	864	287	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	58429	60819	-							FPZ22_RS00255	2391		old_locus_tag=FPZ22_00255
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	58429	60819	-	WP_144893786.1	WP_144893786.1		methyl-accepting chemotaxis protein			FPZ22_RS00255	2391	796	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	60875	61258	-							FPZ22_RS00260	384		old_locus_tag=FPZ22_00260
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	60875	61258	-	WP_144889218.1	WP_144889218.1		hypothetical protein			FPZ22_RS00260	384	127	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	61368	61859	-							FPZ22_RS00265	492		old_locus_tag=FPZ22_00265
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	61368	61859	-	WP_144889220.1	WP_144889220.1		chemotaxis protein CheW			FPZ22_RS00265	492	163	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	61975	63945	-							FPZ22_RS00270	1971		old_locus_tag=FPZ22_00270
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	61975	63945	-	WP_144889222.1	WP_144889222.1		chemotaxis protein CheA			FPZ22_RS00270	1971	656	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	63971	64336	-							FPZ22_RS00275	366		old_locus_tag=FPZ22_00275
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	63971	64336	-	WP_144889224.1	WP_144889224.1		response regulator			FPZ22_RS00275	366	121	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	64333	64638	-							FPZ22_RS00280	306		old_locus_tag=FPZ22_00280
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	64333	64638	-	WP_144889226.1	WP_144889226.1		STAS domain-containing protein			FPZ22_RS00280	306	101	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	64694	65350	-							FPZ22_RS00285	657		old_locus_tag=FPZ22_00285
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	64694	65350	-	WP_144889228.1	WP_144889228.1		chemotaxis protein CheW			FPZ22_RS00285	657	218	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	65350	66126	-							FPZ22_RS00290	777		old_locus_tag=FPZ22_00290
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	65350	66126	-	WP_144889231.1	WP_144889231.1		ParA family protein			FPZ22_RS00290	777	258	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	66126	67079	-					motD		FPZ22_RS00295	954		old_locus_tag=FPZ22_00295
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	66126	67079	-	WP_144889233.1	WP_144889233.1		flagellar motor protein MotD	motD		FPZ22_RS00295	954	317	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	67089	67829	-							FPZ22_RS00300	741		old_locus_tag=FPZ22_00300
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	67089	67829	-	WP_144889235.1	WP_144889235.1		flagellar motor protein			FPZ22_RS00300	741	246	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	67907	69700	-							FPZ22_RS00305	1794		old_locus_tag=FPZ22_00305
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	67907	69700	-	WP_144889237.1	WP_144889237.1		chemotaxis protein CheA			FPZ22_RS00305	1794	597	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	69705	70313	-							FPZ22_RS00310	609		old_locus_tag=FPZ22_00310
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	69705	70313	-	WP_144889239.1	WP_144889239.1		protein phosphatase CheZ			FPZ22_RS00310	609	202	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	70310	70702	-							FPZ22_RS00315	393		old_locus_tag=FPZ22_00315
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	70310	70702	-	WP_168198882.1	WP_168198882.1		chemotaxis response regulator CheY			FPZ22_RS00315	393	130	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	70730	71485	-							FPZ22_RS00320	756		old_locus_tag=FPZ22_00320
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	70730	71485	-	WP_168198883.1	WP_168198883.1		RNA polymerase sigma factor FliA			FPZ22_RS00320	756	251	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	71482	72342	-							FPZ22_RS00325	861		old_locus_tag=FPZ22_00325
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	71482	72342	-	WP_246120775.1	WP_246120775.1		MinD/ParA family protein			FPZ22_RS00325	861	286	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	72329	73624	-					flhF		FPZ22_RS00330	1296		old_locus_tag=FPZ22_00330
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	72329	73624	-	WP_144889244.1	WP_144889244.1		flagellar biosynthesis protein FlhF	flhF		FPZ22_RS00330	1296	431	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	73804	75882	-					flhA		FPZ22_RS00335	2079		old_locus_tag=FPZ22_00335
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	73804	75882	-	WP_168198884.1	WP_168198884.1		flagellar biosynthesis protein FlhA	flhA		FPZ22_RS00335	2079	692	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	75879	77018	-					flhB		FPZ22_RS00340	1140		old_locus_tag=FPZ22_00340
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	75879	77018	-	WP_144889246.1	WP_144889246.1		flagellar biosynthesis protein FlhB	flhB		FPZ22_RS00340	1140	379	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	77114	77911	-					fliR		FPZ22_RS00345	798		old_locus_tag=FPZ22_00345
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	77114	77911	-	WP_144889248.1	WP_144889248.1		flagellar biosynthetic protein FliR	fliR		FPZ22_RS00345	798	265	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	77940	78209	-							FPZ22_RS00350	270		old_locus_tag=FPZ22_00350
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	77940	78209	-	WP_144889250.1	WP_144889250.1		flagellar biosynthetic protein FliQ			FPZ22_RS00350	270	89	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	78232	78942	-					fliP		FPZ22_RS00355	711		old_locus_tag=FPZ22_00355
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	78232	78942	-	WP_246120958.1	WP_246120958.1		flagellar type III secretion system pore protein FliP	fliP		FPZ22_RS00355	711	236	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	79001	79399	-					fliO		FPZ22_RS00360	399		old_locus_tag=FPZ22_00360
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	79001	79399	-	WP_144893792.1	WP_144893792.1		flagellar biosynthetic protein FliO	fliO		FPZ22_RS00360	399	132	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	79435	79788	-					fliN		FPZ22_RS00365	354		old_locus_tag=FPZ22_00365
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	79435	79788	-	WP_144889254.1	WP_144889254.1		flagellar motor switch protein FliN	fliN		FPZ22_RS00365	354	117	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	79785	80798	-					fliM		FPZ22_RS00370	1014		old_locus_tag=FPZ22_00370
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	79785	80798	-	WP_144889256.1	WP_144889256.1		flagellar motor switch protein FliM	fliM		FPZ22_RS00370	1014	337	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	80809	81276	-							FPZ22_RS00375	468		old_locus_tag=FPZ22_00375
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	80809	81276	-	WP_246120778.1	WP_246120778.1		flagellar basal body-associated FliL family protein			FPZ22_RS00375	468	155	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	81350	81757	-							FPZ22_RS00380	408		old_locus_tag=FPZ22_00380
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	81350	81757	-	WP_144889260.1	WP_144889260.1		flagellar hook-length control protein FliK			FPZ22_RS00380	408	135	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	82467	82913	-					fliJ		FPZ22_RS00385	447		old_locus_tag=FPZ22_00385
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	82467	82913	-	WP_144889262.1	WP_144889262.1		flagellar export protein FliJ	fliJ		FPZ22_RS00385	447	148	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	82910	84319	-					fliI		FPZ22_RS00390	1410		old_locus_tag=FPZ22_00390
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	82910	84319	-	WP_144889264.1	WP_144889264.1		flagellar protein export ATPase FliI	fliI		FPZ22_RS00390	1410	469	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	84316	84876	-							FPZ22_RS00395	561		old_locus_tag=FPZ22_00395
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	84316	84876	-	WP_246120959.1	WP_246120959.1		flagellar assembly protein FliH			FPZ22_RS00395	561	186	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	84912	85901	-					fliG		FPZ22_RS00400	990		old_locus_tag=FPZ22_00400
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	84912	85901	-	WP_246120960.1	WP_246120960.1		flagellar motor switch protein FliG	fliG		FPZ22_RS00400	990	329	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	85912	87594	-					fliF		FPZ22_RS00405	1683		old_locus_tag=FPZ22_00405
